Year,CO2perCap,GDPperCap
"1,870 ",668.8762163,"2,445 "
"1,871 ",684.1452139,"2,503 "
"1,872 ",818.1127777,"2,541 "
"1,873 ",881.8965118,"2,604 "
"1,874 ",829.0283181,"2,527 "
"1,875 ",818.8529119,"2,599 "
"1,876 ",783.157258,"2,570 "
"1,877 ",848.7691495,"2,595 "
"1,878 ",812.1045449,"2,646 "
"1,879 ",969.4331984,"2,909 "
"1,880 ",1074.675968,"3,184 "
"1,881 ",1108.691031,"3,215 "
"1,882 ",1211.552605,"3,338 "
"1,883 ",1275.818895,"3,339 "
"1,884 ",1313.643313,"3,320 "
"1,885 ",1305.930132,"3,270 "
"1,886 ",1348.875593,"3,294 "
"1,887 ",1411.182883,"3,368 "
"1,888 ",1680.16861,"3,282 "
"1,889 ",1476.683437,"3,413 "
"1,890 ",1732.125367,"3,392 "
"1,891 ",1805.469572,"3,467 "
"1,892 ",1864.916113,"3,728 "
"1,893 ",1843.405572,"3,478 "
"1,894 ",1692.519806,"3,314 "
"1,895 ",1875.277376,"3,644 "
"1,896 ",1844.338893,"3,504 "
"1,897 ",1884.077769,"3,769 "
"1,898 ",2017.213104,"3,780 "
"1,899 ",2273.561412,"4,051 "
"1,900 ",2367.792017,"4,091 "
"1,901 ",2528.284203,"4,464 "
"1,902 ",2625.552102,"4,421 "
"1,903 ",3015.664764,"4,551 "
"1,904 ",2912.468934,"4,410 "
"1,905 ",3193.161967,"4,642 "
"1,906 ",3288.154366,"5,079 "
"1,907 ",3755.515863,"5,065 "
"1,908 ",3220.908427,"4,561 "
"1,909 ",3495.063019,"5,017 "
"1,910 ",3734.140373,"4,964 "
"1,911 ",3638.814016,"5,046 "
"1,912 ",3824.864424,"5,201 "
"1,913 ",4026.842612,"5,301 "
"1,914 ",3608.743279,"4,799 "
"1,915 ",3691.43361,"4,864 "
"1,916 ",4042.69079,"5,459 "
"1,917 ",4386.256586,"5,248 "
"1,918 ",4539.101355,"5,659 "
"1,919 ",3821.812217,"5,680 "
"1,920 ",4432.677464,"5,552 "
"1,921 ",3561.662567,"5,323 "
"1,922 ",3540.711777,"5,540 "
"1,923 ",4599.499942,"6,164 "
"1,924 ",4039.621851,"6,233 "
"1,925 ",4085.996354,"6,282 "
"1,926 ",4373.350756,"6,602 "
"1,927 ",4213.352078,"6,576 "
"1,928 ",4123.715601,"6,569 "
"1,929 ",4376.677983,"6,899 "
"1,930 ",3844.923505,"6,213 "
"1,931 ",3247.703257,"5,691 "
"1,932 ",2733.696865,"4,908 "
"1,933 ",2913.940403,"4,777 "
"1,934 ",3083.069508,"5,114 "
"1,935 ",3181.090107,"5,467 "
"1,936 ",3628.297884,"6,204 "
"1,937 ",3772.616326,"6,430 "
"1,938 ",3165.723965,"6,126 "
"1,939 ",3460.593436,"6,561 "
"1,940 ",3850.946568,"7,010 "
"1,941 ",4155.807112,"8,206 "
"1,942 ",4422.695109,"9,741 "
"1,943 ",4507.641762,"11,518 "
"1,944 ",4793.841813,"12,333 "
"1,945 ",4576.170679,"11,709 "
"1,946 ",4332.189658,"9,197 "
"1,947 ",4679.475838,"8,886 "
"1,948 ",4778.054795,"9,065 "
"1,949 ",3936.148761,"8,944 "
"1,950 ",4545.343499,"9,561 "
"1,951 ",4603.513733,"10,116 "
"1,952 ",4408.789423,"10,316 "
"1,953 ",4439.738051,"10,613 "
"1,954 ",4156.938157,"10,359 "
"1,955 ",4476.728279,"10,897 "
"1,956 ",4609.92996,"10,914 "
"1,957 ",4488.795469,"10,920 "
"1,958 ",4277.5643,"10,631 "
"1,959 ",4333.588258,"11,230 "
"1,960 ",4363.179481,"11,328 "
"1,961 ",4276.317294,"11,402 "
"1,962 ",4367.040496,"11,905 "
"1,963 ",4494.890141,"12,242 "
"1,964 ",4627.248044,"12,773 "
"1,965 ",4759.128783,"13,419 "
"1,966 ",4941.661579,"14,134 "
"1,967 ",5071.80744,"14,330 "
"1,968 ",5205.723795,"14,863 "
"1,969 ",5415.311061,"15,179 "
"1,970 ",5757.090884,"15,030 "
"1,971 ",5721.353552,"15,304 "
"1,972 ",5930.90864,"15,944 "
"1,973 ",6138.691608,"16,689 "
"1,974 ",5863.902476,"16,491 "
"1,975 ",5563.737134,"16,284 "
"1,976 ",5769.734217,"16,975 "
"1,977 ",5871.961823,"17,567 "
"1,978 ",5989.949907,"18,373 "
"1,979 ",5937.855191,"18,789 "
"1,980 ",5653.602937,"18,577 "
"1,981 ",5373.967136,"18,856 "
"1,982 ",5051.013978,"18,325 "
"1,983 ",5045.278014,"18,920 "
"1,984 ",5157.934461,"20,123 "
"1,985 ",5130.574371,"20,717 "
"1,986 ",5089.346177,"21,236 "
"1,987 ",5261.274349,"21,788 "
"1,988 ",5440.957091,"22,499 "
"1,989 ",5458.735896,"23,059 "
"1,990 ",5198.389454,"23,201 "
"1,991 ",5192.477034,"22,849 "
"1,992 ",5225.088996,"23,298 "
"1,993 ",5270.323893,"23,616 "
"1,994 ",5301.719331,"24,279 "
"1,995 ",5275.042561,"24,603 "
"1,996 ",5345.540648,"25,230 "
"1,997 ",5415.285146,"26,052 "
"1,998 ",5388.654901,"26,849 "
"1,999 ",5401.126229,"27,735 "
"2,000 ",5522.09046,"28,467 "
"2,001 ",5361.307758,"28,405 "
"2,002 ",5360.078748,"28,604 "
"2,003 ",5343.030353,"29,074 "
"2,004 ",5393.181834,"29,845 "
"2,005 ",5375.383564,"30,481 "
"2,006 ",5242.767439,"31,004 "
"2,007 ",5275.823155,"31,357 "
"2,008 ",5070.650959,"31,178 "
"2,009 ",4714.156933,"32,168 "
"2,010 ",4776.114399,"32,888 "